stock_code,description,total_units_sold,total_revenue
23411, TRELLIS COAT RACK,216,1011.6
21316,SMALL CHUNKY GLASS ROMAN  BOWL,669,1008.19
23544,WALL ART MID CENTURY MODERN ,163,1007.53
23327,HANGING CLEAR MINI BOTTLE,1702,1007.3
23102,SILVER HEARTS TABLE DECORATION,1245,1006.95
85179B,WHITE BITTY LIGHT CHAIN ,241,1004.73
22446,PIN CUSHION BABUSHKA PINK,331,1002.49
21827,EIGHT PIECE CREEPY CRAWLIE SET,805,1001.69
72800D,4 BLUE DINNER CANDLES SILVER FLOCK,636,1000.2
20832,RED FLOCK LOVE HEART PHOTO FRAME,1596,1000.06
21010,ETCHED GLASS BIRD TREE DECORATION,800,1000.0
21065,BOOM BOX SPEAKER GIRLS,514,999.7
21849,SILVER DIAMANTE PEN IN GIFT BOX,384,999.34
72750B,FLOWER FAIRY SET 3 CANDLES LAVENDER,477,998.15
21490,SET OF THREE 50'S GIFT WRAPS ,572,996.9
23365,SET 12 COLOUR PENCILS LOVE LONDON,1531,992.75
84910A,PINK PAISLEY CUSHION COVER ,401,992.75
23376,PACK OF 12 VINTAGE CHRISTMAS TISSUE,2618,990.78
84964B,BLUE PAINTED KASHMIRI TABLE ,17,990.0
23026,DRAWER KNOB VINTAGE GLASS STAR,490,989.93
23452,HEART MINI PORTRAIT FRAME,509,988.95
84559B,3D SHEET OF CAT STICKERS,1163,988.55
21904,HOUSE WRECKING METAL SIGN ,645,987.0
22389,PAPERWEIGHT SAVE THE PLANET,536,980.76
21209,MULTICOLOUR HONEYCOMB FAN,1318,980.14
23041,PAPER LANTERN 9 POINT SNOW STAR,236,979.4
23087,ZINC  HEART T-LIGHT HOLDER,815,978.43
21145,ANTIQUE GLASS PLACE SETTING,826,977.78
23281,FOLDING BUTTERFLY MIRROR RED  ,1270,976.22
85008,SET OF 3 CONEY ISLAND OVAL BOXES,261,971.7
20705,MRS ROBOT SOFT TOY,268,970.6
22953,BIRTHDAY PARTY CORDON BARRIER TAPE,795,970.02
22529,MAGIC DRAWING SLATE GO TO THE FAIR ,2424,969.12
21277,FRENCH STYLE EMBOSSED HEART CABINET,45,968.8
21759,METAL WALL SHELF UNIT WITH HOOKS,27,968.08
22260,FELT EGG COSY BLUE RABBIT ,1181,967.97
23433,HANGING QUILTED PATCHWORK APPLES,1168,964.16
85197,SET OF 12 MINI BUNNIES IN A BUCKET,1671,963.66
21815,STAR  T-LIGHT HOLDER ,666,963.3
79191C,RETRO PLASTIC ELEPHANT TRAY,1282,962.98
22233,JIGSAW RABBIT AND BIRDHOUSE,811,961.85
22856,ASSORTED EASTER DECORATIONS  BELLS,857,961.81
23121,PACK OF 6 COCKTAIL PARASOL STRAWS,2465,960.42
78124,MAGAZINE RACK GEBRA ASSORTED ,725,960.25
22717,CARD DOG AND BALL ,2346,959.4
72484,ROSES IN WHITE HEART CANDLE ,1805,958.21
23460,SWEETHEART WALL TIDY ,103,957.33
23347,I LOVE LONDON BEAKER,793,957.25
21250,SET OF SKULL WALL STICKERS,396,956.4
22266,EASTER DECORATION HANGING BUNNY,2473,956.35
35648,VINTAGE BEAD PINK PURSE ,856,953.32
21814,HEART T-LIGHT HOLDER ,659,953.15
22280,POCKET BAG PINK PAISELY BROWN SPOT,586,952.63
23033,DRAWER KNOB CERAMIC RED,685,952.45
22806,SET OF 6 T-LIGHTS WEDDING CAKE ,370,951.1
72753B,S/3 FLWR FAIRY LAVENDER CANDLES,444,949.95
84750B,BLACK SMALL GLASS CAKE STAND,559,948.45
23088,ZINC HEART FLOWER T-LIGHT HOLDER,760,947.18
35958,FOLKART ZINC STAR CHRISTMAS DEC,1114,946.9
72815,3 WICK CHRISTMAS BRIAR CANDLE ,252,945.0
79323S,"Unsaleable, destroyed.",163,942.95
47504H,ENGLISH ROSE SPIRIT LEVEL ,988,941.68
21061,PARTY INVITES FOOTBALL,1328,940.52
23518,EMBROIDERED RIBBON REEL RACHEL ,352,940.48
85136C,RED SHARK HELICOPTER,118,938.1
22860,EASTER TIN CHICKS PINK DAISY,568,937.2
72814,SET OF 3 CHRISTMAS BRIAR CANDLES,260,936.6
23533,WALL ART GARDEN HAVEN ,210,936.34
22258,FELT FARM ANIMAL RABBIT,1061,935.77
20780,BLACK EAR MUFF HEADPHONES,190,935.36
20758,ABSTRACT CIRCLES POCKET BOOK,5393,933.65
23331,DECORATIVE WICKER HEART SMALL,1492,932.28
20784,RED RETRO BAR STOOL,25,930.75
84687,BEACH HUT SHELF W 3 DRAWERS,286,929.7
21562,HAWAIIAN GRASS SKIRT ,664,926.71
22116,METAL SIGN HIS DINNER IS SERVED,727,926.29
21392,RED POLKADOT PUDDING BOWL,3879,926.07
84664,CHERRY BLOSSOM BATHROOM CABINET,187,925.65
84800L,LARGE WHITE/PINK ROSE ART FLOWER,623,923.87
23512,EMBROIDERED RIBBON REEL ROSIE,485,923.54
20733,GOLD MINI TAPE MEASURE ,1264,923.0
22069,BROWN  PIRATE TREASURE CHEST ,642,922.68
20622,VIP PASSPORT COVER ,527,922.58
23107,WHITE HEARTS WIRE PLANT POT HOLDER,340,919.8
84358,FLOOR LAMP SHADE WOOD BASE,114,919.58
21702,No Stock,2636,918.68
84929,ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,2933,918.23
21279,VINTAGE KITCHEN PRINT FRUITS,1832,918.0
21269,ANTIQUE CREAM CUTLERY SHELF ,108,918.0
20773,BLUE PAISLEY NOTEBOOK,3320,918.0
21691,SILVER VANILLA FLOWER CANDLE POT,245,917.31
23566,EGG CUP MILKMAID HEIDI,782,917.02
22101,MIRROR MOSAIC VOTIVE HOLDER,777,915.66
22995,TRAVEL CARD WALLET SUKI,2187,915.66
22701,PINK DOG BOWL,537,914.73
20671,BLUE TEATIME PRINT BOWL ,742,913.82
21131,GOLD STANDING GNOME,253,910.25
85019B,BLOSSOM  IMAGES NOTEBOOK SET,680,910.0
85071A,BLUE CHARLIE+LOLA PERSONAL DOORSIGN,1694,908.66
23153,ZINC SWEETHEART WIRE LETTER RACK,244,908.63
72586,SET OF 6 HALLOWEEN GHOST T-LIGHTS,2162,908.04
21636,MADRAS NOTEBOOK MEDIUM,997,907.95
20707,CRAZY DAISY HEART DECORATION,1274,907.87
22643,SET OF 4 NAPKIN CHARMS LEAVES   ,415,906.73
21202,DOLLY HONEYCOMB GARLAND,766,906.3
22512,DOORSTOP RACING CAR DESIGN,379,903.23
22707,WRAP MONSTER FUN ,2150,903.0
23510,MINI PLAYING CARDS GYMKHANA,2298,902.16
85189,HANGING BUTTERFLY  EGG,1109,902.09
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,8961,901.86
37475,SET/4 COLOURFUL MIXING BOWLS,95,901.45
21725,SWEETIES  STICKERS,1060,901.0
85126,LARGE ROUND CUTGLASS CANDLESTICK,139,899.85
84974,S/2 ZINC HEART DESIGN PLANTERS,91,899.45
22322,BIRD DECORATION GREEN POLKADOT,1057,898.45
21726,MULTI HEARTS  STICKERS,1071,897.35
46000P,POLYESTER FILLER PAD 65CMx65CM,211,896.75
23514,EMBROIDERED RIBBON REEL SALLY ,452,896.66
84760L,LARGE HANGING GLASS+ZINC LANTERN,560,896.0
20778,GARDEN PATH NOTEBOOK ,3597,895.05
23419,HOME SWEET HOME BOTTLE ,437,895.04
85018D,YULETIDE IMAGES S/6 PAPER BOXES,753,893.85
17109B,FLOWER FAIRY INCENSE LAVENDER,4541,892.91
23113,PANTRY CHOPPING BOARD,192,892.8
84666,SQUARE CHERRY BLOSSOM CABINET,226,892.7
21630,FLOOR CUSHION ELEPHANT CARNIVAL,102,890.9
23540,WALL ART THE MAGIC FOREST ,146,890.54
85135B,BLUE DRAGONFLY HELICOPTER,112,890.4
37492B,BLUE YELLOW FLOWER PIGGY BANK,470,889.5
85104,????damages????,327,888.93
47593B,SCOTTIE DOGS BABY BIB,1833,888.89
84405A,S/3 PINK COL METAL BASKET W HANDLE,121,887.55
84963A,PINK PAINTED KASHMIRI CHAIR,26,885.2
22264,FELT FARM ANIMAL WHITE BUNNY ,1824,883.56
21752,GLASS CAKE STAND MIRRORED BASE,62,882.9
22598,CHRISTMAS MUSICAL ZINC TREE,1565,882.03
21721,CANDY SHOP  STICKER SHEET,1041,881.73
20932,PINK POT PLANT CANDLE,289,880.05
21945,STRAWBERRIES  DESIGN FLANNEL ,1542,880.04
20757,RED DAISY POCKET BOOK ,5329,880.03
84816,damages,23,878.85
22814,CARD PARTY GAMES ,2174,878.52
72799A,BLACK PILLAR CANDLE SILVER FLOCK,612,877.8
22096,PINK PAISLEY SQUARE TISSUE BOX ,1639,876.67
84625A,PINK NEW BAROQUECANDLESTICK CANDLE,748,875.2
21805,WHITE CHRISTMAS TREE DECORATION ,2124,874.8
21060,PARTY INVITES BALLOON GIRL,1220,874.4
47504E,ENGLISH ROSE SCISSORS,4372,871.4
22994,TRAVEL CARD WALLET RETROSPOT,2077,870.9
84688,BEACH HUT DESIGN BLACKBOARD,335,869.95
20759,CHRYSANTHEMUM POCKET BOOK ,5739,867.75
20878,SET/9 CHRISTMAS T-LIGHTS SCENTED ,716,867.64
84637,KITCHEN FLOWER POTS WALL PLAQUE,487,867.25
21189,WHITE HONEYCOMB PAPER GARLAND ,543,866.75
22821,GIFT BAG PSYCHEDELIC APPLES,1332,866.16
35957,SMALLFOLKART BAUBLE CHRISTMAS DEC,3399,864.54
46775D,SUNSET COLOUR CHUNKY KNITTED THROW,51,864.45
20617,FIRST CLASS PASSPORT COVER ,452,863.88
35923,CANDY HEART HANGING DECORATION,1450,863.82
85019A,ROMANTIC IMAGES NOTEBOOK SET,619,863.75
84925F,PSYCHEDELIC WALL THERMOMETER,713,863.03
23517,EMBROIDERED RIBBON REEL REBECCA ,312,860.88
72800C,4 PINK DINNER CANDLE SILVER FLOCK,648,859.48
17033,"BROCADE PURSE,SMALL ARCH BUTTON",3243,857.11
21720,CAKE SHOP  STICKER SHEET,1025,856.69
85111,SILVER GLITTER FLOWER VOTIVE HOLDER,2752,856.64
84796A,PINK HAWAIIAN PICNIC HAMPER FOR 2,150,856.5
21650,ASSORTED TUTTI FRUTTI BRACELET,2819,856.23
21062,PARTY INVITES SPACEMAN,1034,854.78
84791,GINGHAM HEART DECORATION,293,854.75
20774,GREEN FERN NOTEBOOK,3427,854.55
85129D,BEADED CRYSTAL HEART PINK SMALL,658,854.1
85032B,BLOSSOM IMAGES GIFT WRAP SET,941,853.8
23532,WALL ART WORK REST AND PLAY  ,205,853.47
21007,ETCHED GLASS DROPLET DECORATION,1905,851.23
20991,JAZZ HEARTS MAGNETIC MEMO PAD,7058,850.9
84341B,SMALL PINK MAGIC CHRISTMAS TREE,1720,850.53
20866,BLUE ROSE FABRIC MIRROR,847,850.09
37330,BIG POLKADOT MUG,492,849.54
35599D,PINK AND WHITE CHRISTMAS TREE 120CM,316,848.88
21801,CHRISTMAS TREE DECORATION WITH BELL,2020,848.4
21338,MARAKESH LANTERN SMALL ,196,848.35
84985A,SET OF 72 GREEN PAPER DOILIES,584,846.8
90200D,PINK SWEETHEART BRACELET,202,846.5
85124B,BLUE JUICY FRUIT PHOTO FRAME,338,845.7
84466,TOP SECRET PEN SET,816,843.6
22647,CERAMIC LOVE HEART MONEY BANK,1026,843.3
84625C,BLUE NEW BAROQUE CANDLESTICK CANDLE,681,841.35
23502,PLAYING CARDS VINTAGE DOILY ,690,838.98
21127,COLOURFUL FISHING GNOME,284,838.6
20867,PINK ROSE FABRIC MIRROR,881,837.97
23179,CLOCK MAGNET MUM'S KITCHEN,304,837.88
85025B,EAU DE NILE HEART SHAPE PHOTO FRAME,525,837.45
22250,DECORATION  BUTTERFLY  MAGIC GARDEN,1019,837.03
21425,SKULLS STORAGE BOX LARGE,419,836.69
21664,RIDGED GLASS STORAGE JAR CREAM LID,230,836.58
22255,FELT TOADSTOOL  SMALL,984,836.4
21836,GINGHAM OVEN GLOVE RED HEART ,223,836.25
85130D,BEADED CRYSTAL HEART PINK LARGE,741,835.83
21780,MA CAMPAGNE 4 DRAWER WALL SHELF,125,835.55
85135C,RED DRAGONFLY HELICOPTER,105,834.75
21261,GREEN GOOSE FEATHER CHRISTMAS TREE ,245,834.75
17107D,FLOWER FAIRY 5 DRAWER LINERS,327,833.85
84817,DANISH ROSE DECORATIVE PLATE,1008,832.8
21014,SWISS CHALET TREE DECORATION ,1772,831.29
23178,JAM CLOCK MAGNET,307,831.05
22893,MINI CAKE STAND T-LIGHT HOLDER,2033,830.82
35599B,BLACK CHRISTMAS TREE 120CM,249,828.57
23479,WIRE EGG BASKET ,110,827.5
21393,BLUE POLKADOT PUDDING BOWL,2746,827.25
22164,STRING OF STARS CARD HOLDER,308,827.0
20801,LARGE PINK GLASS SUNDAE DISH,872,826.96
85226A,WHITE/BLUE PULL BACK RACING CAR,1616,826.4
84826,ASSTD DESIGN 3D PAPER STICKERS,14222,824.88
85124A,PINK JUICY FRUIT PHOTO FRAME,331,823.35
35598B,BLACK CHRISTMAS TREE 60CM,948,823.2
20756,GREEN FERN POCKET BOOK,5685,821.85
84596E,SMALL LICORICE DES PINK BOWL,856,819.37
23002,TRAVEL CARD WALLET SKULLS,1950,817.56
21629,SQUARE FLOOR CUSHION VINTAGE RED,104,816.8
85231L,LAVENDER SCENTED SET/9 T-LIGHTS,1022,814.1
16011,ANIMAL STICKERS,3882,814.02
17039,INLAID WOOD INCENSE HOLDER,3641,813.09
22143,CHRISTMAS CRAFT HEART DECORATIONS,410,813.0
21944,KITTENS DESIGN FLANNEL,1539,811.95
72598,SET/12 TAPER CANDLES,1037,810.89
23186,FRENCH STYLE STORAGE JAR CAFE ,1970,810.22
21724,PANDA AND BUNNIES STICKER SHEET,953,810.05
21635,MADRAS NOTEBOOK LARGE ,388,810.0
84660A,WHITE STITCHED WALL CLOCK,849,809.86
23338,EGG FRYING PAN RED ,399,807.84
20669,RED HEART LUGGAGE TAG,648,807.72
84660B,BLACK STITCHED WALL CLOCK,729,806.23
23099,FRENCH CARRIAGE LANTERN,124,805.7
85130B,BEADED CRYSTAL HEART GREEN LARGE,875,805.05
20840,FRENCH FLORAL CUSHION COVER ,594,804.98
21299,EDWARDIAN TOILET ROLL UNIT ,157,804.95
21676,FLOWERS  STICKERS,1120,802.66
82616B,FRAPPUCINO SCARF KNITTING KIT,530,801.38
21580,RABBIT  DESIGN  COTTON TOTE BAG,364,801.0
22510,GINGHAM BABUSHKA DOORSTOP,317,800.11
82616C,MIDNIGHT GLAMOUR SCARF KNITTING KIT,540,799.27
85166B,BLACK METAL BAROQUE PHOTO FRAME,501,798.75
23380,PACK OF 12 VINTAGE DOILY TISSUES,2123,797.73
21555,CERAMIC STRAWBERRY TRINKET TRAY,321,796.95
22247,BUNNY DECORATION MAGIC GARDEN,976,796.42
23071,damages,241,796.1
84820,DANISH ROSE TRINKET TRAYS,313,794.03
21552,CERAMIC BIRDHOUSE BLACK ROSE  LARGE,160,793.75
23472, NINE DRAWER OFFICE TIDY,55,792.85
20913,SET/5 BLUE SPOTTY LID GLASS BOWLS,295,787.05
85163A,WHITE BAROQUE WALL CLOCK ,80,785.4
85196,EASTER BUNNIES ON A STICK,1536,783.96
84767,ZINC POLICE BOX LANTERN,193,783.7
84685,BEACH HUT KEY CABINET,357,781.25
20934,SET/3 POT PLANT CANDLES,149,780.55
22134,MINI LADLE LOVE HEART RED ,1976,780.12
85032C,CURIOUS IMAGES GIFT WRAP SET,789,778.2
84660C,PINK STITCHED WALL CLOCK,689,778.07
21414,SCALLOP SHELL SOAP DISH,1613,777.3
22547,MINI JIGSAW DINOSAUR ,1920,775.95
23220,REINDEER HEART DECORATION GOLD,930,775.26
85145,JARDIN ETCHED GLASS LARGE BELL JAR,89,774.75
84907,PINK YELLOW PATCH CUSHION COVER,359,774.15
72801G,4 BURGUNDY WINE DINNER CANDLES,1320,773.52
22216,T-LIGHT HOLDER WHITE LACE,1066,773.02
21551,CERAMIC BIRDHOUSE BUTTERFLY LARGE,165,772.95
21632,VINTAGE PINK DECORATIVE PARASOL,102,772.5
21303,FILIGREE WALL MIRROR  ANTIQUE WHITE,81,772.35
85136A,YELLOW SHARK HELICOPTER,97,771.15
35646,VINTAGE BEAD PINK EVENING BAG,537,770.88
21264,WHITE GOOSE FEATHER TREE 60CM ,346,770.7
84908A,PINK 5 PATCH FLOWER CUSHION COVER ,387,769.65
37327,adjustment,1538,768.56
22820,GIFT BAG BIRTHDAY,1182,768.48
21851,LILAC DIAMANTE PEN IN GIFT BOX,389,766.37
85194S,HANGING SPRING FLOWER EGG SMALL,1651,765.41
84782A,PINK 3 TIER GLASS PLATE STAND,113,763.95
84659A,WHITE TRAVEL ALARM CLOCK,310,763.11
72750A,FLOWER FAIRY SET OF 3 LILY CANDLES,381,762.95
85170D,SET/6 PINK BIRD T-LIGHT CANDLES,568,762.09
20833,SHAKER THROW  QUILTED,51,761.85
85160A,WHITE BIRD GARDEN DESIGN MUG,4480,761.6
23550,WRAP ALPHABET POSTER  ,1850,761.0
20798,CLEAR MILKSHAKE GLASS,383,760.65
21444,BLUE CHALET BIRDFEEDER,272,760.0
20775,DAISY NOTEBOOK ,3515,759.75
22420,LIPSTICK PEN BABY PINK,1818,758.87
47589,CONGRATULATIONS BUNTING,139,757.55
22102,MIRROR MOSAIC T-LIGHT HOLDER ,1026,756.9
84908B,BLUE 5 PATCH FLOWER CUSHION COVER,385,755.75
21331,MOROCCAN BEATEN METAL DISH LARGE,101,755.49
23519,EMBROIDERED RIBBON REEL CLAIRE,219,755.01
16259,PIECE OF CAMO STATIONERY SET,5339,751.99
20786,Damages,20,751.0
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,778,749.8
17165B,ASS COL LARGE SAND GECKO P'WEIGHT,808,749.58
22058,CERAMIC LOVE HEARTS DESIGN MUG,503,749.47
85130C,BEADED CRYSTAL HEART BLUE  LARGE,675,749.11
84922,PINK BUTTERFLY WASHBAG,335,748.75
23409,PHOTO FRAME LINEN AND LACE LARGE,201,745.47
20989,URBAN CHIC CHOPSTICKS SET/5,397,744.15
22289,HANGING METAL CHICKEN DECORATION,727,743.75
82613D,METAL SIGN CUPCAKE SINGLE HOOK,834,743.7
21318,GLASS CHALICE BLUE SMALL ,906,743.54
85188A,GREEN METAL SWINGING BUNNY,878,743.18
21641,ASSORTED TUTTI FRUTTI KEYRING BALL,1541,741.13
21503,TOYBOX  WRAP ,1800,740.0
84632,DECORATIVE HANGING SHELVING UNIT,13,739.35
84707A,SILVER JEWELLED MIRROR TRINKET TRAY,96,739.24
23017,APOTHECARY MEASURING JAR,63,738.9
84750A,PINK SMALL GLASS CAKE STAND,407,738.75
23423,PANTRY 3 HOOK ROLLING PIN HANGER,197,738.75
85110,BLACK SILVER FLOWER T-LIGHT HOLDER,6472,737.32
72755C,FLOWER FAIRY OIL BURNER SET ROSE,577,736.25
47503F,ASS FLORAL PRINT TORCH,2570,734.9
23106,ZINC HEARTS PLANT POT HOLDER,271,734.59
23022,SMALL BONNE JAM JAR  T-LIGHT HOLDER,386,733.28
21458,2 PICTURE BOOK EGGS EASTER BUNNY,718,732.5
85230F,JASMINE VOTIVE CANDLE,2968,732.08
21456,2 PICTURE BOOK EGGS EASTER CHICKS,717,731.25
ADJUST2,Adjustment by Peter on Jun 25 2010 ,3,731.05
22825,DECORATIVE PLANT POT WITH FRIEZE,93,729.75
85187,S/12 MINI RABBIT EASTER,453,728.25
21719,LOVELY BONBON STICKER SHEET,858,727.74
85127,SMALL SQUARE CUT GLASS CANDLESTICK,147,727.65
21376,LARGE  TALL CAMPHOR WOOD TOADSTOOL ,176,727.6
85180B,PINK HEARTS LIGHT CHAIN ,279,726.63
84596L,BISCUITS SMALL BOWL LIGHT BLUE,1267,726.36
84919,BLUE CUSHION COVER WITH FLOWER,94,725.3
85214,TUB 24 PINK FLOWER PEGS,438,722.7
84821,DANISH ROSE DELUXE COASTER,1306,722.5
85159A,"BLACK TEA,COFFEE,SUGAR JARS",415,722.45
85208,SET/12 FUNKY FELT FLOWER PEG IN BAG,362,720.84
22408,MONEY BOX CONFECTIONERY DESIGN,603,719.44
71279,damages,247,719.05
20769,DAISY JOURNAL ,407,718.67
21554,CERAMIC BIRDHOUSE RED ROOF LARGE,161,717.95
85006,SET 4 NURSERY DES ROUND BOXES,1567,716.05
21374,MIRRORED WALL ART SKULLS,458,715.0
23072,damages,254,715.0
21133,PAINTED BIRD ASSORTED CHRISTMAS,423,714.87
84638,SMALL KITCHEN FLOWER POTS PLAQUE,356,714.2
20850,ZINC HEART LATTICE PLANTER BOWL,820,713.8
23413,DECORATIVE VINTAGE COFFEE  BOX,148,713.4
16015,MEDIUM CHINESE STYLE SCISSOR,1573,711.88
21723,ALPHABET HEARTS STICKER SHEET,837,711.45
21654,Damaged,1147,709.59
90147,CHUNKY SILVER NECKLACE PASTEL FLOWE,71,706.45
23004,TRAVEL CARD WALLET PANTRY,1678,706.4
85121C,RETRO LAUNDRY TUB PISTACHIO,83,705.5
79323G,"Unsaleable, destroyed.",114,705.3
22105,MIRROR MOSAIC GOBLET CANDLE HOLDER,372,705.0
72529W,WHITE ADVENT CANDLE,369,704.02
84509C,SET OF 4 POLKADOT PLACEMATS ,203,703.65
23564,EGG CUP MILKMAID INGRID,587,703.51
35965,FOLKART HEART NAPKIN RINGS,354,703.26
23324,RUSTIC STRAWBERRY JAM POT LARGE ,346,702.89
37424,WHITE WITH BLACK CATS MUG,3043,702.55
23123,COCKTAIL SWORDS 50 PIECES,894,701.1
20652,BLUE POLKADOT LUGGAGE TAG ,1222,700.76
20776,ABSTRACT CIRCLES NOTEBOOK,3188,700.2
23335,EGG FRYING PAN IVORY ,347,699.68
84631,FRUIT TREE AND BIRDS WALL PLAQUE,251,699.45
20936,FORKED CACTUS CANDLE,307,699.23
23115,RED APPLES CHOPPING BOARD   ,147,698.85
23055,rusty thrown away,225,698.25
37461,FUNKY MONKEY MUG,710,697.9
21674,RIDGED GLASS PENDANT LAMPSHADE,44,697.8
21185,HOME SWEET HOME  BLACKBOARD,113,696.91
21129,SILVER FISHING GNOME ,103,695.4
84600,NEW BAROQUE JEWELLERY BOX ,91,694.45
35954,check,2174,694.35
22104,MIRROR MOSAIC CANDLE PLATE,1026,694.26
72755D,FLOWER FAIRY OIL BURNER SET SUMMER,533,693.25
10134,COLOURING PENCILS BROWN TUBE,604,692.3
21208,PASTEL COLOUR HONEYCOMB FAN,944,692.25
85093,CANDY SPOT EGG WARMER HARE,1042,690.24
23458,DOLLY CABINET 3 DRAWERS ,46,687.7
72131,COLUMBIAN CANDLE RECTANGLE,745,686.43
84849A,HELLO SAILOR BLUE SOAP HOLDER,421,685.57
85071C,"CHARLIE+LOLA""EXTREMELY BUSY"" SIGN",1203,685.12
21220,SET/4 BADGES DOGS,537,684.56
84715,SET OF 6 ICE CREAM SKITTLES,232,684.4
72800A,S/4 BLACK DINNER CANDLE SILVER FLOC,664,684.36
23562,SET OF 6 RIBBONS PERFECTLY PRETTY  ,245,684.05
22230,JIGSAW TREE WITH WATERING CAN,1311,683.78
17165D,ASS COL LARGE SAND FROG P'WEIGHT,717,683.37
84847,FLORAL BATHROOM SET,1201,682.23
23222,CHRISTMAS TREE HANGING GOLD,764,680.68
21427,SKULLS STORAGE BOX SMALL,434,679.8
21222,SET/4 BADGES BEETLES,536,679.68
23006,TRAVEL CARD WALLET FLOWER MEADOW,1621,679.38
84625D,WHITE NEWBAROQUE CANDLESTICK CANDLE,609,679.35
23187,check,2301,678.57
20941,FROG CANDLE,881,678.27
20894,HANGING BAUBLE T-LIGHT HOLDER LARGE,235,674.85
47310M,SMALL POP BOX FUNKY MONKEY,574,674.58
21320,GLASS CHALICE GREEN  LARGE ,336,674.16
21478,SILVER SKULL HOT WATER BOTTLE ,182,673.86
84620,BLUE GINGHAM ROSE CUSHION COVER,113,672.35
85213,MINI  ZINC GARDEN DECORATIONS ,1281,672.21
23223,CHRISTMAS TREE HANGING SILVER ,747,671.77
23325,RUSTIC STRAWBERRY JAM POT SMALL,426,671.7
35951,FOLKART BAUBLE CHRISTMAS DECORATION,1339,671.51
23454,THREE MINI HANGING FRAMES,164,671.0
82607A,GLASS BONBON JAR PARFUME AUX FLEURE,557,670.98
21942,SKULLS DESIGN FLANNEL,1298,670.8
72799C,PINK PILLAR CANDLE SILVER FLOCK,452,670.28
21344,MOROCCAN BEATEN METAL DISH,159,670.05
21335,LIBRARY LAMP,32,669.4
23114,VINTAGE LEAF CHOPPING BOARD  ,141,669.15
72753A,S/3 FLWR FAIRY LILLY CANDLES,312,666.9
84029C,BROWN FURRY HOT WATER BOTTLE,191,665.05
21457,2 PICTURE BOOK EGGS EASTER DUCKS,664,665.0
21480,PINK STRIPE HOT WATER BOTTLE,240,664.8
23183,MOTHER'S KITCHEN SPOON REST ,171,664.46
23487,SWEET HEART CAKE CARRIER,69,664.45
23568,EGG CUP HENRIETTA HEN CREAM ,579,663.27
22638,SET OF 4 NAPKIN CHARMS CROWNS ,366,663.07
35095B,RED VICTORIAN FABRIC OVAL BOX,1831,662.81
21443,OLIVE CHALET BIRDFEEDER,246,662.5
23547,WRAP FLOWER SHOP  ,1575,661.5
17109C,FLOWER FAIRY INCENSE ROSE,3123,659.54
16169K,WRAP FOLK ART,2075,658.75
16046,TEATIME PEN CASE & PENS,5322,658.74
23025,DRAWER KNOB VINTAGE GLASS BALL,311,657.13
23024,LARGE BONNE JAM JAR  T-LIGHT HOLDER,252,657.08
21298,EDWARDIAN 2 DRAWER WALL CABINET ,46,656.1
21255,"FRENCH BOTTLE , LAVENDER",409,655.65
90200E,GREEN SWEETHEART BRACELET,157,655.25
20803,damages,1029,654.69
21417,COCKLE SHELL DISH,401,654.58
84952C,MIRROR LOVE BIRD T-LIGHT HOLDER,381,654.15
84595E,LARGE TORTILLA DESIGN RED BOWL,350,653.1
84971L,LARGE HEART FLOWERS HOOK   ,546,652.86
35647,VINTAGE BEAD PINK SHADE ,525,652.5
85231E,STRAWBERRY SCENTED SET/9 T-LIGHTS,804,652.2
23522,WALL ART DOG AND BALL ,341,652.17
22036,DINOSAUR BIRTHDAY CARD,1577,651.54
23482,PEARLISED IVORY HEART LARGE ,415,651.15
37492D,PURPLE GREEN FLOWER PIGGY BANK,351,651.15
20862,PINK PATCH PENCIL CASE BLUE HEART,315,650.43
23597,PAPER BUNTING PAISLEY PARK,242,649.9
22033,BOTANICAL ROSE GREETING CARD,1564,649.68
20998,ROSE DU SUD OVEN GLOVE,221,649.15
23521,WALL ART CAT AND BIRD ,388,648.62
84986B,SET OF 36 SILVER PAPER DOILIES,447,648.15
21758,VINTAGE SHELLS PRINT,101,647.45
84976,RECTANGULAR SHAPED MIRROR,638,645.84
21084,SET/6 COLLAGE PAPER CUPS,2462,645.84
21350,GINGHAM HEART WREATH,224,644.8
20783,HEART EAR MUFF HEADPHONES,127,642.63
22034,ROBIN CHRISTMAS CARD,1548,641.52
84709B,PINK OVAL JEWELLED MIRROR,113,641.15
16169M,WRAP DAISY CARPET ,2060,640.95
84247E,PACK OF 12 CHRISTMAS FUN CARDS,217,640.15
22640,SET OF 4 NAPKIN CHARMS 3 KEYS ,302,640.02
21415,CLAM SHELL SMALL ,332,638.89
21308,LOUVRE VANITY MIRROR,127,637.95
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,1594,637.44
22344,PARTY PIZZA DISH PINK POLKADOT,1359,636.81
16169N,WRAP BLUE RUSSIAN FOLKART,2050,636.75
40018E,TEA TIME PAPER LANTERNS,336,634.4
85031A,ROMANTIC IMAGES SCRAP BOOK SET,386,634.2
22248,DECORATION  PINK CHICK MAGIC GARDEN,754,632.58
84869,damages,295,631.25
23551,PACK OF 12 PAISLEY PARK TISSUES ,1617,630.63
